timestamp(ms),rx1 ,rx2 ,rx3 ,rx4 ,rx5 ,rx6 ,rx7 ,rx8 ,
"1712614905.684","1460","1064","1464","1464",,,,,
"1712614905.685",,,,,"1052","1416","1608",,
"1712614905.686",,,,,,,,"1508",
"1712614905.706","1460","1064","1464",,,,,,
"1712614905.707",,,,"1468","1048","1416","1608",,
"1712614905.708",,,,,,,,"1508",
"1712614905.728","1460","1068",,,,,,,
"1712614905.729",,,"1460","1468","1048","1416",,,
"1712614905.73",,,,,,,"1608","1508",
"1712614905.75","1460","1068",,,,,,,
"1712614905.751",,,"1460","1468","1048",,,,
"1712614905.752",,,,,,"1416","1608","1508",
"1712614905.772","1460",,,,,,,,
"1712614905.773",,"1068","1460","1468","1048",,,,
"1712614905.774",,,,,,"1416","1608","1508",
"1712614905.795","1460","1068","1460","1468",,,,,
"1712614905.796",,,,,"1052","1416","1604","1508",
"1712614905.817","1460","1064","1464",,,,,,
"1712614905.818",,,,"1464","1048","1420","1608",,
"1712614905.819",,,,,,,,"1508",
"1712614905.839","1460","1064",,,,,,,
"1712614905.84",,,"1464","1464","1048","1420",,,
"1712614905.841",,,,,,,"1608","1508",
"1712614905.861","1460","1064",,,,,,,
"1712614905.862",,,"1464","1464","1048",,,,
"1712614905.863",,,,,,"1420","1608","1508",
"1712614905.883","1460",,,,,,,,
"1712614905.884",,"1068","1460","1468","1048",,,,
"1712614905.885",,,,,,"1420","1604","1508",
"1712614905.906","1456","1068","1464","1464",,,,,
"1712614905.907",,,,,"1048","1420","1608","1508",
"1712614905.928","1460","1064","1464",,,,,,
"1712614905.929",,,,"1468","1048","1416","1608",,
"1712614905.93",,,,,,,,"1508",
"1712614905.95","1460","1068",,,,,,,
"1712614905.951",,,"1464","1464","1052","1416",,,
"1712614905.952",,,,,,,"1604","1508",
"1712614905.972","1460","1064",,,,,,,
"1712614905.973",,,"1464","1468","1048",,,,
"1712614905.974",,,,,,"1416","1608","1508",
"1712614905.994","1460",,,,,,,,
"1712614905.995",,"1068","1460","1468","1048",,,,
"1712614905.996",,,,,,"1416","1608","1508",
"1712614906.017","1460","1068","1460","1468",,,,,
"1712614906.018",,,,,"1048","1420","1604",,
"1712614906.019",,,,,,,,"1508",
"1712614906.039","1460","1068","1460",,,,,,
"1712614906.04",,,,"1468","1048","1420","1604",,
"1712614906.041",,,,,,,,"1508",
"1712614906.061","1456","1068",,,,,,,
"1712614906.062",,,"1464","1464","1048","1420",,,
"1712614906.063",,,,,,,"1604","1508",
"1712614906.083","1460",,,,,,,,
"1712614906.084",,"1064","1464","1464","1052",,,,
"1712614906.085",,,,,,"1416","1608","1508",
"1712614906.105","1460",,,,,,,,
